,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters
0,40,32,0.01,30,60,1,1407.6953897476196,-38.72467116522853,21.893412329450214,58.79938134895888,660.7428565787676,14.795645505676367
1,40,32,0.01,30,60,2,1318.9918398857117,-39.44989598435616,13.45885995454801,51.8442340053089,184.52142166035057,11.994692069433428
2,40,32,0.01,30,60,3,1331.9664549827576,-40.48994654472435,8.178944925702538,59.40455901018065,196.54902348238545,14.255741681831003
3,40,32,0.01,30,60,4,1336.3098359107971,-39.44989598435616,12.919549180260097,61.84172178868287,363.7139820101334,11.74861248063044
4,40,32,0.01,30,60,5,1311.990253686905,-41.860970308305596,0.22241903903182578,47.47934880400015,981.4705907322499,6.585227254639907
5,40,32,0.01,30,60,6,1414.3645207881927,-40.01892450396984,8.197398768016622,80.93277060908967,814.6381919482718,12.677658379086441
6,40,32,0.01,30,60,7,1454.1824312210083,-48.04400352240127,7.429754111457241,76.12014142901792,528.3389998195902,10.206336539010344
7,40,32,0.01,30,60,8,1383.3341166973114,-41.38213756844783,8.812496831696993,86.35112786063817,135.34858246596616,13.626291506146297
8,40,32,0.01,30,60,9,1285.986815214157,-44.73476789250293,4.5645684734509775,7.716999072856897,884.9661650111558,13.852865358863044
9,40,32,0.01,30,60,10,1370.2307999134064,-41.022223188655516,0.03955410097543837,68.13915083763091,835.035608150203,14.325816317962163
